wealth,age,age_when_married,school,class,working,tv,asha,want_child,method,died,birth,first_child_gender,children_away,boys_died,girls_died,domain_1,domain_2,domain_3,born_place_1.0,born_place_2.0,born_place_3.0,born_place_4.0,born_place_9.0
1,35.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,18.0,12.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,36.0,32.0,1.0,14.0,1.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,38.0,18.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2,4.0,1.0,0.0,2.0,0.0,1,0,0,0,0,0,1,0
4,27.0,21.0,1.0,12.0,0.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
5,27.0,19.0,1.0,14.0,0.0,1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
4,49.0,18.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0,3.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,30.0,16.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0
3,42.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,3.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
3,34.0,26.0,1.0,10.0,1.0,1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,25.0,17.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,31.0,13.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
4,30.0,13.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
